代码,选股日期,最新收盘价,评分,否决,流动性过滤,主力资金,风险过滤,波动收敛VCP,箱体突破,均线金叉,涨停检测,倍量检测,通过筛选
000629,2026-04-24,3.49,0.0,是,否,是,是,否,否,否,否,否,否
000630,2026-04-24,6.29,0.0,是,否,是,是,否,否,否,否,否,否
000631,2026-04-24,3.19,0.0,是,否,是,是,否,否,否,否,否,否
000632,2026-04-24,4.61,0.0,是,否,是,是,是,否,否,否,否,否
000633,2026-04-24,6.55,0.0,是,否,是,是,否,否,否,否,否,否
000635,2026-04-24,8.04,0.0,是,否,是,是,是,否,否,否,否,否
000636,2026-04-24,22.73,0.0,是,否,是,是,是,否,否,否,否,否
000637,2026-04-24,4.43,0.0,是,否,是,是,是,否,否,否,否,否
000638,2026-04-13,0.89,0.0,是,否,是,是,否,否,否,否,否,否
000639,2026-04-24,2.04,0.0,是,否,是,是,否,否,否,否,否,否
000650,2026-04-24,5.55,0.0,是,否,是,是,否,否,否,否,否,否
000651,2026-04-24,37.11,0.0,是,否,是,是,是,否,否,否,否,否
000652,2026-04-24,4.15,0.0,是,否,是,是,是,否,否,是,否,否
000655,2026-04-24,8.33,0.0,是,否,是,是,否,否,否,否,否,否
000656,2026-04-24,1.45,0.0,是,否,是,是,是,否,是,否,否,否
000657,2026-04-24,55.18,0.0,是,否,是,是,否,否,否,是,否,否
000659,2026-04-24,3.99,0.0,是,否,是,是,否,否,是,是,否,否
000661,2026-04-24,85.39,0.0,是,否,是,是,是,否,否,否,否,否
000663,2026-04-24,6.35,0.0,是,否,是,是,是,否,否,否,否,否
000665,2026-04-24,4.64,0.0,是,否,是,是,是,否,否,否,否,否
000668,2026-04-24,15.26,0.0,是,否,是,是,是,否,是,否,否,否
000669,2026-04-24,4.06,0.0,是,否,是,是,否,否,否,否,否,否
